Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,Allocation,PnL,Return_pct,Holding_Days,Exit_Reason,Exit_Year
AMD,2024-05-15,2024-05-20,155.58999633789062,166.3300018310547,32.234810496518655,5015.414047105936,346.2020418037129,6.902760939617414,5,TIME,2024
AMD,2024-05-20,2024-05-28,165.5500030517578,171.61000061035156,30.560746204829126,5059.331627473458,185.19804739006773,3.660523978787933,8,TIME,2024
TSLA,2024-05-24,2024-05-29,174.83999633789062,176.19000244140625,28.965239988047802,5064.282453436401,39.10325077365938,0.7721380300801606,5,TIME,2024
AMD,2024-05-28,2024-06-03,169.4199981689453,163.5500030517578,30.14659446961247,5107.435979841682,-176.96036233645688,-3.4647592849894604,6,TIME,2024
NVDA,2024-05-29,2024-06-03,112.8547051589029,114.80133819580078,44.99933257058002,5078.386409600224,87.59718742024582,1.7249019738760252,5,TIME,2024
NVDA,2024-06-03,2024-06-10,113.42472260342709,121.5796127319336,44.84312710119231,5086.319252122961,365.69077452887586,7.189693694044896,7,TIME,2024
NVDA,2024-06-10,2024-06-17,120.16206756268632,130.7644805908203,42.9374886075187,5159.457407028736,455.2409886077113,8.823427595071065,7,TIME,2024
TSLA,2024-06-17,2024-06-24,177.9199981689453,182.5800018310547,29.51048594191543,5250.505604750279,137.51897255995314,2.6191567615037936,7,TIME,2024
NVDA,2024-06-17,2024-06-24,132.77118307637525,117.9156494140625,39.96871514014864,5306.693595200166,-593.7565932038674,-11.188823747821285,7,TIME,2024
AVGO,2024-06-17,2024-06-24,176.11801814865436,156.28184509277344,30.040381937135457,5290.652531196931,-595.8862147697782,-11.263000381447618,7,TIME,2024
ADBE,2024-06-17,2024-06-24,525.510009765625,524.1699829101562,10.099947919990578,5307.6237300665525,-13.534201451623117,-0.25499549591194715,7,TIME,2024
AVGO,2024-06-24,2024-07-01,161.1738513202931,161.0511474609375,31.25428818702535,5037.373997377216,-3.8350217819600245,-0.0761313689227161,7,TIME,2024
TSLA,2024-06-25,2024-07-01,184.3999938964844,209.8600006103516,27.113819281529793,4999.788110024475,690.3180209463301,13.806945529596671,6,TIME,2024
TSLA,2024-07-01,2024-07-08,201.0200042724609,252.94000244140625,25.742067889902057,5174.67059721009,1336.5281177085815,25.82827433361974,7,TIME,2024
AMD,2024-07-03,2024-07-08,164.1999969482422,178.69000244140625,32.936992671254856,5408.254096104323,477.2572047347873,8.82460765071238,5,TIME,2024
TSLA,2024-07-08,2024-07-15,247.7100067138672,252.63999938964844,22.35447705629072,5537.427661698764,110.20740815843324,1.990227500771069,7,TIME,2024
AMD,2024-07-08,2024-07-15,174.89999389648438,179.8300018310547,31.79422881449108,5560.810425597918,156.7458003289851,2.818758208469796,7,TIME,2024
AVGO,2024-07-08,2024-07-15,167.35261755541237,168.2556610107422,33.37211324780095,5584.910505375143,30.136468458952297,0.539605217128325,7,TIME,2024
NVDA,2024-07-09,2024-07-15,130.1355144487565,128.22865295410156,43.30353665449595,5635.328019983415,-82.57384662883744,-1.465289089402122,6,TIME,2024
TSLA,2024-07-15,2024-07-22,255.97000122070312,251.50999450683597,21.800721964097594,5580.330827762271,-97.2313663270265,-1.7423943011281362,7,TIME,2024
AMD,2024-07-15,2024-07-22,184.4499969482422,155.8699951171875,30.175178265317726,5565.811538950518,-862.4066500751823,-15.4947152637115,7,TIME,2024
GE,2024-07-31,2024-08-05,168.9176682192586,156.55062866210938,31.899583277976408,5388.403224481828,-394.50340825530975,-7.321341626085287,5,TIME,2024
META,2024-08-07,2024-08-12,499.77508903606014,512.5096435546875,10.623783896615288,5309.502542830767,135.28915522556284,2.548057075671606,5,TIME,2024
LLY,2024-08-09,2024-08-14,846.940605238381,917.5321655273438,6.305520690321503,5340.401509804027,445.1165439641327,8.334889111745202,5,TIME,2024
