Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,Position_Value,PnL,Return,Exit_Reason,Hold_Days,ATR_Pct,Return_10D
AMD,2022-11-18,2022-11-18,75.06999969482422,73.56859970092773,28.6441875575234,2150.3191512017693,-43.00638302403539,-0.020000000000000018,SL,0,0.0554707115838644,0.229412756205372
ADBE,2022-11-17,2022-11-21,331.739990234375,325.10519042968747,6.461016118369292,2143.3774240119683,-42.86754848023958,-0.02000000000000013,SL,4,0.0381215416801071,0.123464584990016
AAPL,2022-11-18,2022-11-21,149.6390649453273,146.64628364642076,14.400104139261998,2154.8181185145027,-43.09636237029011,-0.020000000000000018,SL,3,0.0369895541414861,0.0870536111845754
AMT,2022-11-18,2022-11-21,191.45769544775183,193.46353149414065,11.196292824845525,2143.6164218031236,22.457927733999686,0.010476654081194692,TIME,3,0.0323300900332495,0.0745541585591924
AMD,2022-11-21,2022-11-22,72.20999908447266,75.09839904785157,29.42601783720656,2124.8527210843617,84.99410884337476,0.040000000000000036,TP,1,0.0563894427632372,0.182987639803996
AVGO,2022-11-21,2022-11-23,48.45851514154072,50.39685574720235,43.221713416133255,2094.460054019027,83.7784021607611,0.040000000000000036,TP,2,0.0331270511035013,0.1071567141713247
ADBE,2022-11-22,2022-11-23,322.489990234375,335.38958984375,6.587260940943401,2124.325716516117,84.9730286606447,0.040000000000000036,TP,1,0.0422674701047249,0.0732789646233895
AAPL,2022-11-22,2022-11-25,145.53236323934706,145.51268005371094,14.599295526599803,2124.6699796156972,-0.28736064400672345,-0.00013524954311194826,TIME,3,0.0358217617976107,0.0654332828708963
BLK,2022-11-22,2022-11-25,664.365228458333,674.0403442382812,3.195543916791662,2123.008264327929,30.917257374868534,0.014562947254779468,TIME,3,0.03929704496361,0.0700873329445899
AMD,2022-11-23,2022-11-28,75.48999786376953,73.98019790649414,28.75990102250653,2171.084866751241,-43.421697335024824,-0.020000000000000018,SL,5,0.0525676290967422,0.1785434894019522
ADBE,2022-11-25,2022-11-28,332.8900146484375,328.9700012207031,6.576562670258665,2189.272043638774,-25.780213975750602,-0.011775701448642928,TIME,3,0.0380542434807702,0.1234985253291716
AMZN,2022-11-25,2022-11-28,93.79000091552734,93.9499969482422,23.382804718858164,2193.0732759893044,3.741155988763566,0.0017058964831331291,TIME,3,0.0461216313169986,0.0927559544971357
DIS,2022-11-28,2022-11-28,95.22079211967046,93.31637627727706,22.83601176674183,2174.4631292832723,-43.48926258566535,-0.019999999999999907,SL,0,0.0428990326246476,0.0929693922811203
META,2022-12-02,2022-12-02,116.80427590530408,121.47644694151624,18.56577066960639,2168.561399687307,86.74245598749226,0.040000000000000036,TP,0,0.0330336392247815,0.0636756615596874
AMD,2022-12-02,2022-12-05,75.05000305175781,73.54900299072266,28.70897731309845,2154.6088349608845,-43.09217669921771,-0.020000000000000018,SL,3,0.0437901006176649,0.0657497470336136
