Date,Cash,Open_Positions,Equity,Daily_Return,Peak,Drawdown
2024-08-25,5122.621338016261,3,12806.553345040655,0.0,12886.34434714439,-0.006191903611625693
2024-08-26,10296.468889412685,1,12857.779558420816,0.0040000000000000036,12886.34434714439,-0.0022166712260722754
2024-08-27,10296.468889412685,1,12857.779558420816,0.0,12886.34434714439,-0.0022166712260722754
2024-08-28,12891.4078687087,0,12891.4078687087,0.0026154057265557196,12891.4078687087,0.0
2024-08-29,7734.8447212252195,2,12891.4078687087,0.0,12891.4078687087,0.0
2024-08-30,12788.27660575903,0,12788.27660575903,-0.008000000000000007,12891.4078687087,-0.008000000000000007
2024-08-31,12788.27660575903,0,12788.27660575903,0.0,12891.4078687087,-0.008000000000000007
2024-09-01,12788.27660575903,0,12788.27660575903,0.0,12891.4078687087,-0.008000000000000007
2024-09-02,12788.27660575903,0,12788.27660575903,0.0,12891.4078687087,-0.008000000000000007
2024-09-03,12788.27660575903,0,12788.27660575903,0.0,12891.4078687087,-0.008000000000000007
2024-09-04,5115.310642303613,3,12788.276605759032,2.220446049250313e-16,12891.4078687087,-0.007999999999999896
2024-09-05,7621.812857032383,2,12737.123499335996,-0.0040000000000000036,12891.4078687087,-0.011967999999999868
2024-09-06,5074.388157165184,3,12737.123499335996,0.0,12891.4078687087,-0.011967999999999868
2024-09-07,5074.388157165184,3,12737.123499335996,0.0,12891.4078687087,-0.011967999999999868
2024-09-08,5074.388157165184,3,12737.123499335996,0.0,12891.4078687087,-0.011967999999999868
2024-09-09,5043.696293311363,3,12685.970392912961,-0.004016064257028051,12891.4078687087,-0.01593599999999984
2024-09-10,7530.146490322303,2,12635.226511341309,-0.0040000000000000036,12891.4078687087,-0.019872255999999866
2024-09-11,10118.798700598638,1,12666.223400465837,0.0024532119860856128,12891.4078687087,-0.017467794870524078
2024-09-12,10118.798700598638,1,12666.223400465837,0.0,12891.4078687087,-0.017467794870524078
2024-09-13,12675.967092827983,0,12675.967092827983,0.0007692657909212919,12891.4078687087,-0.016711966456639415
2024-09-14,12675.967092827983,0,12675.967092827983,0.0,12891.4078687087,-0.016711966456639415
2024-09-15,12675.967092827983,0,12675.967092827983,0.0,12891.4078687087,-0.016711966456639415
2024-09-16,12675.967092827983,0,12675.967092827983,0.0,12891.4078687087,-0.016711966456639415
2024-09-17,12675.967092827983,0,12675.967092827983,0.0,12891.4078687087,-0.016711966456639415
2024-09-18,10140.773674262386,1,12675.967092827983,0.0,12891.4078687087,-0.016711966456639415
2024-09-19,7605.580255696788,2,12675.967092827981,-1.1102230246251565e-16,12891.4078687087,-0.016711966456639527
2024-09-20,5070.386837131192,3,12675.967092827981,0.0,12891.4078687087,-0.016711966456639527
2024-09-21,5070.386837131192,3,12675.967092827981,0.0,12891.4078687087,-0.016711966456639527
2024-09-22,5070.386837131192,3,12675.967092827981,0.0,12891.4078687087,-0.016711966456639527
2024-09-23,2535.1934185655955,4,12675.967092827981,0.0,12891.4078687087,-0.016711966456639527
2024-09-24,2535.1934185655955,4,12675.967092827981,0.0,12891.4078687087,-0.016711966456639527
2024-09-25,5159.363492522598,3,12764.943748219388,0.007019318900074234,12891.4078687087,-0.009809954178571778
2024-09-26,7717.6792322642,2,12788.066069395394,0.0018113923282452316,12891.4078687087,-0.008016331526066067
2024-09-27,10323.457358651725,1,12858.65077721732,0.00551957641123324,12891.4078687087,-0.0025410018692287872
2024-09-28,10323.457358651725,1,12858.65077721732,0.0,12891.4078687087,-0.0025410018692287872
2024-09-29,10323.457358651725,1,12858.65077721732,0.0,12891.4078687087,-0.0025410018692287872
2024-09-30,12852.242709681297,0,12852.242709681297,-0.0004983468053566531,12891.4078687087,-0.0030380823744216023
2024-10-01,12852.242709681297,0,12852.242709681297,0.0,12891.4078687087,-0.0030380823744216023
2024-10-02,5140.89708387252,3,12852.242709681299,2.220446049250313e-16,12891.4078687087,-0.0030380823744213803
2024-10-03,2570.44854193626,4,12852.242709681297,-1.1102230246251565e-16,12891.4078687087,-0.0030380823744216023
2024-10-04,2529.3213652652794,4,12800.833738842573,-0.0039999999999998925,12891.4078687087,-0.0070259300449238005
2024-10-05,2529.3213652652794,4,12800.833738842573,0.0,12891.4078687087,-0.0070259300449238005
2024-10-06,2529.3213652652794,4,12800.833738842573,0.0,12891.4078687087,-0.0070259300449238005
2024-10-07,10076.363920273492,1,12646.812462209751,-0.012032128514056328,12891.4078687087,-0.018973521665748838
2024-10-08,5038.161396548412,3,12595.40349137103,-0.004064974553259049,12891.4078687087,-0.022961369336250814
2024-10-09,5038.161396548412,3,12595.40349137103,0.0,12891.4078687087,-0.022961369336250814
2024-10-10,7658.005322753586,2,12696.166719301997,0.008000000000000007,12891.4078687087,-0.015145060290940981
2024-10-11,5159.077270065574,3,12796.929947232966,0.007936507936507908,12891.4078687087,-0.007328751245630927
2024-10-12,5159.077270065574,3,12796.929947232966,0.0,12891.4078687087,-0.007328751245630927
2024-10-13,5159.077270065574,3,12796.929947232966,0.0,12891.4078687087,-0.007328751245630927
2024-10-14,5159.077270065574,3,12796.929947232966,0.0,12891.4078687087,-0.007328751245630927
2024-10-15,7674.236810371951,2,12792.02849977318,-0.0003830174487159388,12891.4078687087,-0.007708961654742441
2024-10-16,2557.4254104626793,4,12792.028499773181,2.220446049250313e-16,12891.4078687087,-0.00770896165474233
2024-10-17,2557.4254104626793,4,12792.028499773181,0.0,12891.4078687087,-0.00770896165474233
2024-10-18,5104.607120583798,3,12779.824220447706,-0.000954053481485917,12891.4078687087,-0.008655660374522811
2024-10-19,5104.607120583798,3,12779.824220447706,0.0,12891.4078687087,-0.008655660374522811
2024-10-20,5104.607120583798,3,12779.824220447706,0.0,12891.4078687087,-0.008655660374522811
2024-10-21,5104.607120583798,3,12779.824220447706,0.0,12891.4078687087,-0.008655660374522811
2024-10-22,2548.0402543915056,4,12774.752757167964,-0.000396833570811439,12891.4078687087,-0.009049059088720113
2024-10-23,7600.562468932872,2,12710.463571800057,-0.005032518952809761,12891.4078687087,-0.014036038480160773
2024-10-24,2516.3770402128494,4,12710.463571800057,0.0,12891.4078687087,-0.014036038480160773
2024-10-25,2516.3770402128494,4,12710.463571800057,0.0,12891.4078687087,-0.014036038480160773
2024-10-26,2516.3770402128494,4,12710.463571800057,0.0,12891.4078687087,-0.014036038480160773
2024-10-27,2516.3770402128494,4,12710.463571800057,0.0,12891.4078687087,-0.014036038480160773
2024-10-28,2516.3770402128494,4,12710.463571800057,0.0,12891.4078687087,-0.014036038480160773
2024-10-29,7611.011106109088,2,12695.196534829112,-0.001201139272749785,12891.4078687087,-0.015220318515858255
2024-10-30,10254.7875290435,1,12796.880243403511,0.008009620669946482,12891.4078687087,-0.007332606823699628
2024-10-31,10196.830711293049,1,12746.038389116311,-0.0039729882065129285,12891.4078687087,-0.011276462669778997
2024-11-01,0.0,5,12746.038389116311,0.0,12891.4078687087,-0.011276462669778997
2024-11-02,0.0,5,12746.038389116311,0.0,12891.4078687087,-0.011276462669778997
2024-11-03,0.0,5,12746.038389116311,0.0,12891.4078687087,-0.011276462669778997
2024-11-04,2498.223524266797,4,12695.054235559846,-0.0040000000000000036,12891.4078687087,-0.015231356819099817
2024-11-05,2498.223524266797,4,12695.054235559846,0.0,12891.4078687087,-0.015231356819099817
2024-11-06,13102.92746401157,0,13102.92746401157,0.032128514056224855,13102.92746401157,0.0
2024-11-07,13102.92746401157,0,13102.92746401157,0.0,13102.92746401157,0.0
2024-11-08,13102.92746401157,0,13102.92746401157,0.0,13102.92746401157,0.0
2024-11-09,13102.92746401157,0,13102.92746401157,0.0,13102.92746401157,0.0
2024-11-10,13102.92746401157,0,13102.92746401157,0.0,13102.92746401157,0.0
2024-11-11,10482.341971209255,1,13102.92746401157,0.0,13102.92746401157,0.0
2024-11-12,10482.341971209255,1,13102.92746401157,0.0,13102.92746401157,0.0
2024-11-13,13050.515754155522,0,13050.515754155522,-0.004000000000000115,13102.92746401157,-0.004000000000000115
2024-11-14,13050.515754155522,0,13050.515754155522,0.0,13102.92746401157,-0.004000000000000115
2024-11-15,10440.412603324417,1,13050.515754155522,0.0,13102.92746401157,-0.004000000000000115
2024-11-16,10440.412603324417,1,13050.515754155522,0.0,13102.92746401157,-0.004000000000000115
2024-11-17,10440.412603324417,1,13050.515754155522,0.0,13102.92746401157,-0.004000000000000115
