Date,Strategy,Cash,Open_Position_Value,Open_Positions,Equity,Peak,Drawdown,Daily_Return
2019-05-23,BASE,7848.5435711987275,1978.3660161307503,1,9826.909587329477,10311.82474788936,-0.04702515533529961,0.0
2019-05-24,BASE,3924.271785599364,5824.1523660181265,3,9748.424151617492,10311.82474788936,-0.05463636262701099,-0.007986787200442214
2019-05-25,BASE,3924.271785599364,5824.1523660181265,3,9748.424151617492,10311.82474788936,-0.05463636262701099,0.0
2019-05-26,BASE,3924.271785599364,5824.1523660181265,3,9748.424151617492,10311.82474788936,-0.05463636262701099,0.0
2019-05-27,BASE,3924.271785599364,5824.1523660181265,3,9748.424151617492,10311.82474788936,-0.05463636262701099,0.0
2019-05-28,BASE,3924.271785599364,5824.1523660181265,3,9748.424151617492,10311.82474788936,-0.05463636262701099,0.0
2019-05-29,BASE,3937.2558842642184,5771.860629003953,3,9709.11651326817,10311.82474788936,-0.058448262005670104,-0.004032204358157543
2019-05-30,BASE,1971.8739667983225,7697.934908120532,4,9669.808874918854,10311.82474788936,-0.06226016138432877,-0.0040485288538457676
2019-05-31,BASE,3897.9482459149003,5771.860629003953,3,9669.808874918854,10311.82474788936,-0.06226016138432877,0.0
2019-06-01,BASE,3897.9482459149003,5771.860629003953,3,9669.808874918854,10311.82474788936,-0.06226016138432877,0.0
2019-06-02,BASE,3897.9482459149003,5771.860629003953,3,9669.808874918854,10311.82474788936,-0.06226016138432877,0.0
2019-06-03,BASE,7743.734595802278,1926.0742791165776,1,9669.808874918856,10311.82474788936,-0.06226016138432866,2.220446049250313e-16
2019-06-04,BASE,9669.808874918856,0.0,0,9669.808874918856,10311.82474788936,-0.06226016138432866,0.0
2019-06-05,BASE,9669.808874918856,0.0,0,9669.808874918856,10311.82474788936,-0.06226016138432866,0.0
2019-06-06,BASE,9669.808874918856,0.0,0,9669.808874918856,10311.82474788936,-0.06226016138432866,0.0
2019-06-07,BASE,9669.808874918856,0.0,0,9669.808874918856,10311.82474788936,-0.06226016138432866,0.0
2019-06-08,BASE,9669.808874918856,0.0,0,9669.808874918856,10311.82474788936,-0.06226016138432866,0.0
2019-06-09,BASE,9669.808874918856,0.0,0,9669.808874918856,10311.82474788936,-0.06226016138432866,0.0
2019-06-10,BASE,9669.808874918856,0.0,0,9669.808874918856,10311.82474788936,-0.06226016138432866,0.0
2019-06-11,BASE,7735.847099935085,1955.089283843624,1,9690.93638377871,10311.82474788936,-0.06021129909502543,0.002184894151802119
2019-06-12,BASE,5801.885324951314,3850.3718233277195,2,9652.257148279034,10311.82474788936,-0.06396225844948811,-0.003991279476812992
2019-06-13,BASE,7697.16786443541,1955.089283843624,1,9652.257148279034,10311.82474788936,-0.06396225844948811,0.0
2019-06-14,BASE,7697.16786443541,1955.089283843624,1,9652.257148279034,10311.82474788936,-0.06396225844948811,0.0
2019-06-15,BASE,7697.16786443541,1955.089283843624,1,9652.257148279034,10311.82474788936,-0.06396225844948811,0.0
2019-06-16,BASE,7697.16786443541,1955.089283843624,1,9652.257148279034,10311.82474788936,-0.06396225844948811,0.0
2019-06-17,BASE,7697.16786443541,1955.089283843624,1,9652.257148279034,10311.82474788936,-0.06396225844948811,0.0
2019-06-18,BASE,9652.257148279034,0.0,0,9652.257148279034,10311.82474788936,-0.06396225844948811,0.0
2019-06-19,BASE,9652.257148279034,0.0,0,9652.257148279034,10311.82474788936,-0.06396225844948811,0.0
2019-06-20,BASE,9652.257148279034,0.0,0,9652.257148279034,10311.82474788936,-0.06396225844948811,0.0
2019-06-21,BASE,9652.257148279034,0.0,0,9652.257148279034,10311.82474788936,-0.06396225844948811,0.0
2019-06-22,BASE,9652.257148279034,0.0,0,9652.257148279034,10311.82474788936,-0.06396225844948811,0.0
2019-06-23,BASE,9652.257148279034,0.0,0,9652.257148279034,10311.82474788936,-0.06396225844948811,0.0
