Ticker,Sector,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,PnL_$,PnL_%,Exit,Signal_Drop,ATR_Pct,Drop_ATR_Ratio,Volume_Ratio,Distance_SMA50,Win,Drop_Abs,Drop_Group,ATR_Group,Volume_Group,SMA_Group,ATR_Pct_Group
ADBE,Technology,2023-06-08,2023-06-09,424.1499938964844,441.1159936523438,4.640097360768522,78.72389068996259,4.000000000000004,TP,-3.3657526926444525,3.2374380383975123,1.0396346285936808,1.2082443119108133,11.054949894028107,True,3.3657526926444525,> -4%,1 - 1.5 ATR,1 - 1.25x,> 20%,> 6%
ADBE,Technology,2023-08-25,2023-08-29,514.9199829101562,535.5167822265626,3.8527190849635295,79.35368181548236,4.000000000000004,TP,-3.44444772852186,2.5257807309840663,1.3637160527310987,1.2808551190571809,0.7021610444662985,True,3.44444772852186,> -4%,1 - 1.5 ATR,1.25 - 1.5x,> 20%,> 6%
ADBE,Technology,2023-09-13,2023-09-14,557.02001953125,545.879619140625,3.5900195893012468,-39.99425563500308,-2.0000000000000018,SL,-3.948623211221214,2.650790304147868,1.4896022537288371,1.7052114564657317,3.296082928425648,False,3.948623211221214,> -4%,1 - 1.5 ATR,1.5 - 2x,> 20%,> 6%
ADBE,Technology,2023-09-18,2023-09-20,524.22998046875,545.1991796875,3.7993132877334137,79.66855722492585,4.000000000000004,TP,-4.214350845384929,2.6689293552578914,1.5790417371229772,3.3322367355705063,0.0689495257019112,True,4.214350845384929,> -4%,1.5 - 2 ATR,> 2x,5 - 10%,> 6%
ADBE,Technology,2023-10-23,2023-10-25,535.8099975585938,525.0937976074218,3.746939495746508,-40.15295284136285,-2.000000000000013,SL,-2.659511376081736,2.870295640073761,0.9265635702994662,1.0605692612893385,1.4312084761791244,False,2.659511376081736,> -4%,0.5 - 1 ATR,1 - 1.25x,> 20%,> 6%
ADBE,Technology,2023-12-15,2023-12-19,580.5999755859375,603.823974609375,3.4440529376217466,79.9846820599945,4.000000000000004,TP,-6.346713628518764,2.703737833512704,2.347384997854284,3.736420132215904,1.432521834994693,True,6.346713628518764,> -4%,> 2 ATR,> 2x,> 20%,> 6%
ADBE,Technology,2024-02-07,2024-02-13,613.25,600.985,3.286773726721339,-40.312279758237175,-2.0000000000000018,SL,-3.704993711588023,2.7334248778795693,1.3554401079652645,1.2972128158374576,0.4660772304092342,False,3.704993711588023,> -4%,1 - 1.5 ATR,1.25 - 1.5x,> 20%,> 6%
ADBE,Technology,2024-08-05,2024-08-07,504.2300109863281,524.3992114257812,3.9814201618686416,80.30206127840849,4.000000000000004,TP,-3.704176576041618,2.596388359984392,1.426665067957663,1.1962548819349776,1.1473210702231285,True,3.704176576041618,> -4%,1 - 1.5 ATR,1 - 1.25x,> 20%,> 6%
ADBE,Technology,2025-06-03,2025-06-05,403.4599914550781,419.59839111328125,5.015644641536181,80.94447776863585,4.000000000000004,TP,-2.8162573284205017,1.9562277977401927,1.4396366985858209,1.482233502538071,5.700377276930402,True,2.8162573284205017,> -4%,1 - 1.5 ATR,1.25 - 1.5x,> 20%,> 6%
ADBE,Technology,2025-06-16,2025-06-17,392.989990234375,385.1301904296875,5.190465127503903,-40.79601679539245,-2.0000000000000018,SL,-5.3181203803690735,2.194393178512631,2.423503879087757,3.153694272901644,1.6098057958987555,False,5.3181203803690735,> -4%,> 2 ATR,> 2x,> 20%,> 6%
