Ticker,Signal_Date,Entry_Date,exit_date,allocated_capital,pnl_pct,Score,Score_Level,Exit,exit_date_actual,pnl_dollars
ABBV,2022-04-11,2022-04-12,2022-04-13,1998.6697660081093,-0.02,4,HIGH,SL,2022-04-13,-39.97339532016218
COST,2022-04-11,2022-04-12,2022-04-20,1998.6697660081093,0.0287032948313024,5,HIGH,TIME,2022-04-20,57.36840756414094
KO,2022-04-29,2022-05-02,2022-05-02,2002.1487684569054,-0.02,4,HIGH,SL,2022-05-03,-40.042975369138105
PEP,2022-05-02,2022-05-03,2022-05-10,1994.1401733830776,0.0138939566900275,4,HIGH,TIME,2022-05-10,27.70649720282841
WMT,2022-05-06,2022-05-09,2022-05-16,1994.1401733830776,-0.0017511639237653,4,HIGH,TIME,2022-05-16,-3.492066330559526
LLY,2022-06-02,2022-06-03,2022-06-06,1998.9830595575318,0.04,4,HIGH,TP,2022-06-06,79.95932238230127
CVX,2022-05-31,2022-06-01,2022-06-08,1998.9830595575318,0.0248967399928947,4,HIGH,TIME,2022-06-08,49.76816148400501
MRK,2022-06-28,2022-06-29,2022-07-01,2024.928556330793,-0.02,4,HIGH,SL,2022-07-01,-40.498571126615865
UPS,2022-07-12,2022-07-13,2022-07-19,2016.82884210547,0.04,4,HIGH,TP,2022-07-19,80.6731536842188
ABBV,2022-07-18,2022-07-19,2022-07-21,2032.9634728423139,-0.02,4,HIGH,SL,2022-07-21,-40.65926945684628
UNH,2022-07-20,2022-07-21,2022-07-28,2024.8316189509446,0.04,4,HIGH,TP,2022-07-28,80.99326475803778
COST,2022-07-26,2022-07-27,2022-07-28,2024.8316189509446,0.04,5,HIGH,TP,2022-07-28,80.99326475803778
LOW,2022-07-26,2022-07-27,2022-07-27,2024.8316189509446,-0.02,5,HIGH,SL,2022-07-28,-40.49663237901889
UPS,2022-07-26,2022-07-27,2022-07-29,2024.831618950945,0.04,4,HIGH,TP,2022-07-29,80.99326475803781
LOW,2022-08-02,2022-08-03,2022-08-04,2065.3282513299637,0.04,5,HIGH,TP,2022-08-04,82.61313005319855
WMT,2022-08-04,2022-08-05,2022-08-11,2081.8508773406033,0.04,4,HIGH,TP,2022-08-11,83.27403509362414
LOW,2022-08-09,2022-08-10,2022-08-15,2081.850877340604,0.04,5,HIGH,TP,2022-08-15,83.27403509362415
AVGO,2022-08-09,2022-08-10,2022-08-17,2081.8508773406033,-0.02,5,HIGH,SL,2022-08-17,-41.63701754681207
CRM,2022-08-09,2022-08-10,2022-08-17,2081.850877340604,-0.001062944611885,5,HIGH,TIME,2022-08-17,-2.212892172817255
AVGO,2022-08-17,2022-08-18,2022-08-22,2106.3905094341276,-0.0199999999999999,4,HIGH,SL,2022-08-22,-42.12781018868234
BAC,2022-08-19,2022-08-22,2022-08-24,2097.964947396391,-0.02,5,HIGH,SL,2022-08-24,-41.95929894792782
NKE,2022-08-19,2022-08-22,2022-08-26,2097.964947396391,-0.0199999999999999,4,HIGH,SL,2022-08-26,-41.95929894792761
AAPL,2022-08-22,2022-08-23,2022-08-26,2097.964947396391,-0.02,4,HIGH,SL,2022-08-26,-41.95929894792782
JPM,2022-08-19,2022-08-22,2022-08-29,2097.964947396391,-0.02,5,HIGH,SL,2022-08-29,-41.95929894792782
CVX,2022-08-30,2022-08-31,2022-09-01,2064.397508238049,-0.02,5,HIGH,SL,2022-09-01,-41.28795016476098
CAT,2022-08-30,2022-08-31,2022-09-01,2064.397508238049,-0.02,4,HIGH,SL,2022-09-01,-41.28795016476098
COP,2022-08-30,2022-08-31,2022-09-07,2064.397508238049,-0.02,4,HIGH,SL,2022-09-07,-41.28795016476098
HON,2022-09-02,2022-09-06,2022-09-13,2047.8823281721443,-0.0113837036863712,4,HIGH,TIME,2022-09-13,-23.312485608467675
NEE,2022-09-15,2022-09-16,2022-09-22,2034.9622410174984,-0.02,4,HIGH,SL,2022-09-22,-40.69924482034997
TSLA,2022-09-21,2022-09-22,2022-09-22,2026.8223920534285,-0.02,4,HIGH,SL,2022-09-23,-40.53644784106857
ABBV,2022-10-28,2022-10-31,2022-11-07,2018.7151024852149,0.0201834511042207,5,HIGH,TIME,2022-11-07,40.744637564362215
LLY,2022-11-01,2022-11-02,2022-11-08,2018.7151024852149,0.04,4,HIGH,TP,2022-11-08,80.7486040994086
V,2022-11-03,2022-11-04,2022-11-10,2018.7151024852149,0.04,5,HIGH,TP,2022-11-10,80.7486040994086
MRK,2022-11-11,2022-11-14,2022-11-18,2059.163471637851,0.04,4,HIGH,TP,2022-11-18,82.36653886551404
PEP,2022-11-11,2022-11-14,2022-11-21,2059.163471637851,0.0344210597456553,5,HIGH,TIME,2022-11-21,70.87858888331746
JNJ,2022-11-11,2022-11-14,2022-11-21,2059.163471637851,0.04,4,HIGH,TP,2022-11-21,82.36653886551404
WMT,2022-11-14,2022-11-15,2022-11-21,2059.163471637851,0.04,4,HIGH,TP,2022-11-21,82.36653886551404
AVGO,2022-11-16,2022-11-17,2022-11-22,2059.163471637851,0.04,4,HIGH,TP,2022-11-22,82.36653886551404
V,2022-11-21,2022-11-22,2022-11-30,2139.2324205069262,0.04,4,HIGH,TP,2022-11-30,85.56929682027705
BAC,2022-11-28,2022-11-29,2022-11-30,2139.2324205069267,-0.0200000000000001,4,HIGH,SL,2022-11-30,-42.78464841013875
HD,2022-11-28,2022-11-29,2022-12-01,2139.2324205069267,0.04,4,HIGH,TP,2022-12-01,85.56929682027707
CVX,2022-11-28,2022-11-29,2022-12-05,2139.2324205069262,-0.02,4,HIGH,SL,2022-12-05,-42.78464841013852
XOM,2022-11-28,2022-11-29,2022-12-05,2139.232420506925,-0.02,4,HIGH,SL,2022-12-05,-42.7846484101385
BAC,2022-12-01,2022-12-02,2022-12-05,2164.903209553009,-0.02,4,HIGH,SL,2022-12-05,-43.298064191060185
MS,2022-12-05,2022-12-06,2022-12-06,2139.129737350742,-0.02,5,HIGH,SL,2022-12-07,-42.78259474701484
JPM,2022-12-05,2022-12-06,2022-12-06,2139.129737350742,-0.02,4,HIGH,SL,2022-12-07,-42.78259474701484
XOM,2022-12-05,2022-12-06,2022-12-06,2139.129737350742,-0.02,4,HIGH,SL,2022-12-07,-42.78259474701484
PFE,2022-12-06,2022-12-07,2022-12-08,2113.4601805025327,0.04,5,HIGH,TP,2022-12-08,84.5384072201013
BA,2022-12-06,2022-12-07,2022-12-08,2113.4601805025327,0.04,4,HIGH,TP,2022-12-08,84.5384072201013
MS,2022-12-06,2022-12-07,2022-12-12,2113.460180502533,0.04,4,HIGH,TP,2022-12-12,84.53840722010133
UPS,2022-12-06,2022-12-07,2022-12-12,2113.4601805025327,0.04,4,HIGH,TP,2022-12-12,84.5384072201013
GS,2022-12-06,2022-12-07,2022-12-13,2113.4601805025327,0.04,4,HIGH,TP,2022-12-13,84.5384072201013
GE,2022-12-09,2022-12-12,2022-12-15,2181.090906278614,-0.0200000000000001,4,HIGH,SL,2022-12-15,-43.6218181255725
WMT,2022-12-09,2022-12-12,2022-12-16,2181.090906278614,-0.02,4,HIGH,SL,2022-12-16,-43.62181812557228
MSFT,2022-12-15,2022-12-16,2022-12-16,2180.5498604724053,-0.02,4,HIGH,SL,2022-12-17,-43.61099720944811
LLY,2022-12-13,2022-12-14,2022-12-21,2197.9985877226345,0.0250689068493272,4,HIGH,TIME,2022-12-21,55.10142185057147
DUK,2022-12-16,2022-12-19,2022-12-27,2171.827661030516,0.03535400073908,5,HIGH,TIME,2022-12-27,76.78279673322726
MCD,2022-12-16,2022-12-19,2022-12-27,2171.827661030516,0.0022159176387985,4,HIGH,TIME,2022-12-27,4.8125912225080105
PFE,2023-01-04,2023-01-05,2023-01-09,2199.1670229917777,-0.0199999999999999,4,HIGH,SL,2023-01-09,-43.98334045983533
BLK,2023-01-05,2023-01-06,2023-01-09,2199.1670229917777,0.04,4,HIGH,TP,2023-01-09,87.9666809196711
ABBV,2023-01-09,2023-01-10,2023-01-10,2207.9636910837444,-0.0200000000000001,4,HIGH,SL,2023-01-11,-44.15927382167511
JNJ,2023-01-09,2023-01-10,2023-01-11,2207.9636910837444,-0.02,4,HIGH,SL,2023-01-11,-44.15927382167489
MRK,2023-01-09,2023-01-10,2023-01-18,2207.9636910837444,-0.0160094403886607,4,HIGH,TIME,2023-01-18,-35.34826309273246
AMT,2023-01-18,2023-01-19,2023-01-20,2183.2303289365277,-0.0199999999999999,4,HIGH,SL,2023-01-20,-43.664606578730336
NEE,2023-01-18,2023-01-19,2023-01-19,2183.2303289365277,-0.0200000000000001,4,HIGH,SL,2023-01-20,-43.664606578730776
GE,2023-01-19,2023-01-20,2023-01-20,2165.764486305035,-0.02,5,HIGH,SL,2023-01-21,-43.3152897261007
XOM,2023-01-18,2023-01-19,2023-01-23,2183.2303289365277,0.04,4,HIGH,TP,2023-01-23,87.32921315746111
NFLX,2023-01-19,2023-01-20,2023-01-23,2130.8328010420505,0.04,4,HIGH,TP,2023-01-23,85.23331204168203
CAT,2023-01-19,2023-01-20,2023-01-24,2165.764486305035,0.04,5,HIGH,TP,2023-01-24,86.6305794522014
