ticker,cik,fiscal_quarter,fiscal_period_end,sec_filing_date,sec_acceptance_utc,accession_number,filing_url,primary_document,item_2_02_confirmed,filter_decision,filter_reason,filter_evidence,ambiguous,note
ABBV,0001551152,Q4,2023-12-31,2024-01-05,2024-01-05T21:03:27.000Z,0001551152-24-000002,https://www.sec.gov/Archives/edgar/data/1551152/000155115224000002/abbv-20240105.htm,abbv-20240105.htm,YES,EXCLUDE,PRELIMINARY_RESULTS,Preliminary-result language in filed document.,NO,Preliminary-result language in filed document.
ABBV,0001551152,Q1,2024-03-31,2024-04-03,2024-04-03T20:06:09.000Z,0001551152-24-000013,https://www.sec.gov/Archives/edgar/data/1551152/000155115224000013/abbv-20240403.htm,abbv-20240403.htm,YES,EXCLUDE,PRELIMINARY_RESULTS,Preliminary-result language in filed document.,NO,Preliminary-result language in filed document.
ABBV,0001551152,Q2,2024-06-30,2024-07-03,2024-07-03T18:07:48.000Z,0001551152-24-000024,https://www.sec.gov/Archives/edgar/data/1551152/000155115224000024/abbv-20240703.htm,abbv-20240703.htm,YES,EXCLUDE,PRELIMINARY_RESULTS,Preliminary-result language in filed document.,NO,Preliminary-result language in filed document.
ABBV,0001551152,Q3,2024-09-30,2024-10-03,2024-10-03T20:07:32.000Z,0001551152-24-000033,https://www.sec.gov/Archives/edgar/data/1551152/000155115224000033/abbv-20241003.htm,abbv-20241003.htm,YES,EXCLUDE,PRELIMINARY_RESULTS,Preliminary-result language in filed document.,NO,Preliminary-result language in filed document.
ABBV,0001551152,Q4,2024-12-31,2025-01-06,2025-01-06T21:02:39.000Z,0001551152-25-000002,https://www.sec.gov/Archives/edgar/data/1551152/000155115225000002/abbv-20250106.htm,abbv-20250106.htm,YES,EXCLUDE,PRELIMINARY_RESULTS,Preliminary-result language in filed document.,NO,Preliminary-result language in filed document.
ABBV,0001551152,Q1,2025-03-31,2025-04-03,2025-04-03T20:13:07.000Z,0001551152-25-000023,https://www.sec.gov/Archives/edgar/data/1551152/000155115225000023/abbv-20250403.htm,abbv-20250403.htm,YES,EXCLUDE,PRELIMINARY_RESULTS,Preliminary-result language in filed document.,NO,Preliminary-result language in filed document.
ABBV,0001551152,Q2,2025-06-30,2025-07-03,2025-07-03T17:07:55.000Z,0001551152-25-000034,https://www.sec.gov/Archives/edgar/data/1551152/000155115225000034/abbv-20250703.htm,abbv-20250703.htm,YES,EXCLUDE,PRELIMINARY_RESULTS,Preliminary-result language in filed document.,NO,Preliminary-result language in filed document.
ABBV,0001551152,Q3,2025-09-30,2025-10-03,2025-10-03T20:09:03.000Z,0001551152-25-000043,https://www.sec.gov/Archives/edgar/data/1551152/000155115225000043/abbv-20251003.htm,abbv-20251003.htm,YES,EXCLUDE,PRELIMINARY_RESULTS,Preliminary-result language in filed document.,NO,Preliminary-result language in filed document.
AMD,0000002488,Q1,2017-12-30,2018-02-27,2018-02-27T21:31:08.000Z,0000002488-18-000043,https://www.sec.gov/Archives/edgar/data/2488/000000248818000043/a6form8-kasc606disclosurev.htm,a6form8-kasc606disclosurev.htm,YES,EXCLUDE,NON_QUARTERLY_ITEM_202,Curated exclusion after filed-document review and secondary event-date cross-check.,NO,Curated exclusion after filed-document review and secondary event-date cross-check.
AMD,0000002488,Q3,2022-09-24,2022-10-06,2022-10-06T20:20:03.000Z,0000002488-22-000163,https://www.sec.gov/Archives/edgar/data/2488/000000248822000163/amd-20221006.htm,amd-20221006.htm,YES,EXCLUDE,PRELIMINARY_RESULTS,Preliminary-result language in filed document.,NO,Preliminary-result language in filed document.
AVGO,0001649338,Q1,,2018-01-31,2018-01-31T08:25:56.000Z,0001193125-18-026500,https://www.sec.gov/Archives/edgar/data/1649338/000119312518026500/d496455d8k.htm,d496455d8k.htm,YES,EXCLUDE,NON_QUARTERLY_ITEM_202,Curated exclusion after filed-document review and secondary event-date cross-check.,NO,Curated exclusion after filed-document review and secondary event-date cross-check.
BA,0000012927,Q2,,2019-07-18,2019-07-18T20:40:43.000Z,0000012927-19-000053,https://www.sec.gov/Archives/edgar/data/12927/000001292719000053/a201907jul188-k.htm,a201907jul188-k.htm,YES,EXCLUDE,NON_QUARTERLY_ITEM_202,Curated exclusion after filed-document review and secondary event-date cross-check.,NO,Curated exclusion after filed-document review and secondary event-date cross-check.
BA,0000012927,Q3,2024-09-30,2024-10-11,2024-10-11T20:39:18.000Z,0000012927-24-000067,https://www.sec.gov/Archives/edgar/data/12927/000001292724000067/ba-20241011.htm,ba-20241011.htm,YES,EXCLUDE,NON_QUARTERLY_ITEM_202,Curated exclusion after filed-document review and secondary event-date cross-check.,NO,Curated exclusion after filed-document review and secondary event-date cross-check.
BAC,0000070858,Q4,,2024-01-08,2024-01-08T13:30:28.000Z,0000070858-24-000006,https://www.sec.gov/Archives/edgar/data/70858/000007085824000006/bac-20240108.htm,bac-20240108.htm,YES,EXCLUDE,NON_QUARTERLY_ITEM_202,Curated exclusion after filed-document review and secondary event-date cross-check.,NO,Curated exclusion after filed-document review and secondary event-date cross-check.
CAT,0000018230,Q3,2018-09-30,2018-10-23,2018-10-23T17:50:09.000Z,0000018230-18-000280,https://www.sec.gov/Archives/edgar/data/18230/000001823018000280/cat_8-kxax3qx2018xearnings.htm,cat_8-kxax3qx2018xearnings.htm,YES,EXCLUDE,DUPLICATE_OR_AMENDMENT,Duplicate/amended filing for the same quarterly release; earliest accepted filing retained.,NO,Duplicate/amended filing for the same quarterly release; earliest accepted filing retained.
