Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,Margin,PnL,Return,Hold_Days
NFLX,2022-12-28,2022-12-30,28.177903435707094,29.50274487018585,46.570814781803776,1312.2679218438673,-63.04206245474344,-0.048040542183004104,3
META,2022-12-28,2022-12-30,116.19187500000001,120.40016633605957,11.293973196007613,1312.2679218438673,-48.86436163706683,-0.037236574043818374,3
NVDA,2022-12-30,2023-01-04,14.326832633972169,14.75637409543991,88.23856741076098,1264.1791871554435,-39.18525345219521,-0.030996597515868606,3
TSLA,2023-01-04,2023-01-06,109.05544561004639,113.11652755737306,11.53524817888949,1257.9816303712694,-48.126992561660835,-0.03825730948667117,3
AAPL,2023-01-05,2023-01-09,127.06643225479125,130.2150688934326,9.789527076960686,1243.9202791310697,-32.082995740435784,-0.025791842354115406,3
NVDA,2023-01-06,2023-01-10,14.466762977123262,15.916954896926878,86.58066671477381,1252.541983763938,-126.87390455637936,-0.10129313524095876,3
AMD,2023-01-06,2023-01-10,63.11842652511597,68.08402805328369,19.844315720790803,1252.541983763938,-99.8407759345997,-0.07971052246454385,3
ADBE,2023-01-06,2023-01-10,332.1138587799072,338.86936221313476,3.7714234159496525,1252.541983763938,-26.743144750283875,-0.02135109648773582,3
AMD,2023-01-20,2023-01-24,67.97599713516236,74.7373469467163,17.674291464808693,1201.4275859778602,-120.763245884544,-0.10051645833173788,3
NFLX,2023-01-20,2023-01-24,33.66216135406494,36.40119091987609,35.69074407733416,1201.4275859778602,-99.00830984122217,-0.08240888672506866,3
AMZN,2023-01-20,2023-01-24,93.8130706100464,96.36815969467163,12.806611894965517,1201.4275859778602,-33.93982286696791,-0.028249578470718874,3
AMD,2023-01-31,2023-02-02,72.22387213516235,88.35415255737304,16.104101367002823,1163.100557982105,-261.0566533909429,-0.22444891080084875,3
COP,2023-02-03,2023-02-07,111.25434255981448,112.07600664138793,10.101671553426229,1123.854827431615,-9.428185597073968,-0.008389148995889916,3
AMZN,2023-02-07,2023-02-09,101.11941316986086,98.2891178627014,11.169709445230465,1129.4744643795568,30.499908548903512,0.02700362824551127,3
AMD,2023-02-08,2023-02-10,85.83705725479126,81.52074335861205,13.055106380048475,1120.6119138116117,55.257500139031634,0.049310113035547366,3
GOOGL,2023-02-09,2023-02-13,99.95,94.65730561065673,11.267889369065085,1126.2255424380553,58.54108804837507,0.05197989731403641,3
META,2023-02-10,2023-02-14,176.26183110046387,179.56973572540284,6.4686270830369965,1140.1720543621534,-22.54847230006821,-0.019776376919431255,3
AMZN,2023-02-10,2023-02-14,97.51121755981447,99.74984694671632,11.692727082017607,1140.1720543621534,-27.328942354419286,-0.023969138911853018,3
NEE,2023-02-10,2023-02-14,73.38328816986085,76.06801377868652,15.53721675326116,1140.1720543621534,-42.87419234357134,-0.0376032653839744,3
NVDA,2023-02-13,2023-02-15,21.52723110675812,22.775381938934324,53.07311766999151,1142.5172696380753,-67.41889488361657,-0.05900908167889087,3
TSLA,2023-02-14,2023-02-16,191.84403244018554,202.14101328277587,5.887514187390238,1129.4844627577454,-61.783417071192815,-0.05470054623004077,3
COP,2023-02-16,2023-02-21,110.82455725479126,105.36265255737305,9.921238427153517,1099.5168561085102,53.11643634275203,0.04830888771523301,3
META,2023-02-17,2023-02-22,170.13489122009278,171.2055551147461,6.54547154480789,1113.6130892601032,-8.125117145794773,-0.007296176045482,3
AMD,2023-02-17,2023-02-22,79.56019847488403,76.64830561065673,13.997113011371562,1113.6130892601032,39.66485945508461,0.03561816921659782,3
NVDA,2023-02-21,2023-02-23,20.9895,23.675831557273867,53.32602967828686,1119.286699932402,-144.44230874701165,-0.12904853488899232,3
AMZN,2023-02-21,2023-02-23,95.29232633972168,95.86790969467162,11.745821966210496,1119.286699932402,-7.883366663695535,-0.007043205877610841,3
TSLA,2023-02-22,2023-02-24,197.83102767944337,196.9784448852539,5.688981319254695,1125.4570208373118,3.7272957322191225,0.00331180637128738,3
AMD,2023-02-23,2023-02-27,80.58968225479127,78.80938164138793,13.905583960073143,1120.6465929096166,23.647851120767186,0.021101970300350034,3
GOOGL,2023-02-23,2023-02-27,91.87403816986085,89.91493774795532,12.197641632315266,1120.6465929096166,22.787706477645763,0.02033442712611152,3
NFLX,2023-02-24,2023-02-28,31.914035305023194,32.229107751846314,34.44071102778122,1099.1420676707114,-11.955886821068665,-0.010877471777970828,3
ADBE,2023-02-27,2023-03-01,321.8589790191651,323.5416948852539,3.4516575157612803,1110.9469639467534,-6.922009909455995,-0.006230729399416911,3
NVDA,2023-03-02,2023-03-06,22.4767568693161,23.565777854919432,49.10559377535529,1103.734492212063,-54.60749513515218,-0.04947520940992783,3
TSLA,2023-03-03,2023-03-07,194.70260305023194,187.80386171722412,5.636723407089131,1097.4847200344261,37.80825517955963,0.03444991487295938,3
NFLX,2023-03-03,2023-03-07,31.5292275762558,30.862423622131345,34.80848737508958,1097.4847200344261,22.12455751727584,0.020159330798320208,3
TSLA,2023-03-09,2023-03-13,180.159875,174.5672357254028,6.12947742693202,1104.2858870513944,33.19281028166086,0.030058167609377445,3
NFLX,2023-03-10,2023-03-14,29.77510591506958,29.508746480941767,37.30833294161692,1110.8595648513233,8.831535598955139,0.007950181893727626,3
TSLA,2023-03-14,2023-03-16,177.22134255981447,184.2220698852539,6.271660400897909,1111.4720763263517,-45.03960951294087,-0.04052248407517913,3
NVDA,2023-03-14,2023-03-16,23.484252289772034,25.553770866394043,47.32839958504555,1111.4720763263517,-99.10744772043903,-0.08916773514275764,3
AMD,2023-03-14,2023-03-16,83.62816316986084,96.64829847335815,13.290643178049862,1111.4720763263517,-174.24396751126343,-0.15676864153634545,3
BAC,2023-03-14,2023-03-16,29.975004771232605,28.984484313011166,37.07996328304327,1111.4720763263517,35.6353543767388,0.03206140319289093,3
COP,2023-03-16,2023-03-20,91.96399713516237,96.20808366394043,11.939098425389073,1097.9672133889023,-51.79386928973444,-0.04717250994214245,3
CAT,2023-03-17,2023-03-21,217.29129389953619,225.03245816802976,4.876633390751487,1059.6499793500732,-38.82934554445567,-0.036643558062702274,3
BAC,2023-03-20,2023-03-22,28.225879771232606,27.653819389343262,37.72562327027112,1064.8389067214878,20.527286215510824,0.019277363069604484,3
GS,2023-03-20,2023-03-22,306.62660877990726,313.8268484344482,3.472754406274688,1064.8389067214878,-26.082005225255582,-0.024493850722978345,3
MS,2023-03-20,2023-03-22,84.55769847488403,87.59377805328369,12.59304505594809,1064.8389067214878,-39.317442574414294,-0.03692337153181979,3
BA,2023-03-23,2023-03-27,197.80104389953618,200.67029232788084,5.292949287325502,1046.9508943402905,-16.241330711518966,-0.015512982317812554,3
NFLX,2023-03-23,2023-03-27,30.45276641178131,32.7823818397522,34.37950037718921,1046.9508943402905,-81.17801088621349,-0.07753755340871622,3
